placement_id,campaign_id,channel_id,channel_name,creative_id,cost,publication_time,data_source
pl_000,cmp_002,ch_007,channel_007,cr_000,34391.0,2026-08-17 17:16:07.123866715,synthetic
pl_001,cmp_000,ch_004,channel_004,cr_004,32354.0,2026-09-03 10:36:44.325304189,synthetic
pl_002,cmp_002,ch_006,channel_006,cr_002,20766.0,2026-08-24 12:28:16.647132220,synthetic
pl_003,cmp_004,ch_002,channel_002,cr_000,35040.0,2026-08-27 08:55:04.751113416,synthetic
pl_004,cmp_000,ch_008,channel_008,cr_003,29518.0,2026-09-08 21:58:47.444385627,synthetic
pl_005,cmp_002,ch_003,channel_003,cr_004,28727.0,2026-08-11 04:50:21.021261169,synthetic
pl_006,cmp_001,ch_007,channel_007,cr_002,22422.0,2026-08-09 17:00:32.648241536,synthetic
pl_007,cmp_003,ch_000,channel_000,cr_003,37288.0,2026-09-08 19:08:55.112645682,synthetic
pl_008,cmp_002,ch_007,channel_007,cr_001,36693.0,2026-08-21 08:57:56.017486502,synthetic
pl_009,cmp_003,ch_003,channel_003,cr_000,21202.0,2026-08-21 14:25:33.508159065,synthetic
