date,orders_count,unique_buyers,revenue,items_count,average_order_value,new_buyers,repeat_orders,bundle_orders
2026-08-04,7,6,84130.0,9,12018.57,6,1,2
2026-08-05,6,6,67110.0,8,11185.0,6,0,2
2026-08-06,7,7,62445.0,8,8920.71,7,0,1
2026-08-07,5,5,54995.0,6,10999.0,5,0,1
2026-08-08,35,35,275015.0,49,7857.57,35,0,14
2026-08-09,68,68,524091.67,92,7707.23,68,0,23
2026-08-10,29,29,205590.0,36,7089.31,28,1,6
2026-08-11,12,12,96330.0,17,8027.5,12,0,5
2026-08-12,14,14,114930.0,17,8209.29,14,0,3
2026-08-13,9,9,72810.0,9,8090.0,9,0,0
2026-08-14,9,9,76690.0,10,8521.11,9,0,1
2026-08-15,5,5,48345.0,7,9669.0,5,0,2
2026-08-16,5,5,43085.0,6,8617.0,5,0,1
2026-08-17,3,3,33185.0,4,11061.67,3,0,1
2026-08-18,6,6,61110.0,7,10185.0,5,1,1
2026-08-19,5,5,56380.0,7,11276.0,5,0,1
2026-08-20,6,6,52585.0,6,8764.17,6,0,0
2026-08-21,3,3,28145.0,3,9381.67,3,0,0
2026-08-22,26,26,251150.0,32,9659.62,24,2,6
2026-08-23,39,39,394495.0,49,10115.26,37,2,10
2026-08-24,19,19,184073.0,22,9688.05,19,0,3
2026-08-25,15,15,141650.0,18,9443.33,13,2,3
2026-08-26,9,9,84075.0,10,9341.67,9,0,1
2026-08-27,10,10,137425.0,18,13742.5,10,0,6
2026-08-28,6,6,60200.0,7,10033.33,6,0,1
2026-08-29,10,10,95525.0,13,9552.5,10,0,3
2026-08-30,19,19,176340.0,23,9281.05,17,2,4
2026-08-31,19,19,206188.0,25,10852.0,17,2,6
2026-09-01,19,19,226880.0,28,11941.05,18,1,6
2026-09-02,23,23,217280.0,28,9446.96,23,0,5
2026-09-03,20,20,180400.0,22,9020.0,18,2,2
2026-09-04,26,26,269585.0,33,10368.65,26,0,6
2026-09-05,49,48,484684.0,59,9891.51,47,2,10
2026-09-06,45,45,396075.0,54,8801.67,43,2,7
2026-09-07,17,17,173375.0,20,10198.53,15,2,3
2026-09-08,6,6,64750.0,8,10791.67,6,0,2
2026-09-09,16,16,193600.0,24,12100.0,16,0,5
2026-09-10,1,1,9950.0,1,9950.0,1,0,0
