date,revenue,sales,orders,buyers,avg_check,n_posts
2026-08-04,84130.0,9,7,6,12018.57142857143,0.0
2026-08-05,67110.0,8,6,6,11185.0,1.0
2026-08-06,62445.0,8,7,7,8920.714285714286,1.0
2026-08-07,54995.0,6,5,5,10999.0,1.0
2026-08-08,275015.0,49,35,35,7857.571428571428,1.0
2026-08-09,524091.67,92,68,68,7707.230441176471,2.0
2026-08-10,205590.0,36,29,29,7089.310344827586,2.0
2026-08-11,96330.0,17,12,12,8027.5,1.0
2026-08-12,114930.0,17,14,14,8209.285714285714,1.0
2026-08-13,72810.0,9,9,9,8090.0,2.0
2026-08-14,76690.0,10,9,9,8521.111111111111,2.0
2026-08-15,48345.0,7,5,5,9669.0,0.0
2026-08-16,43085.0,6,5,5,8617.0,2.0
2026-08-17,33185.0,4,3,3,11061.666666666666,2.0
2026-08-18,61110.0,7,6,6,10185.0,1.0
2026-08-19,56380.0,7,5,5,11276.0,1.0
2026-08-20,52585.0,6,6,6,8764.166666666666,1.0
2026-08-21,28145.0,3,3,3,9381.666666666666,0.0
2026-08-22,251150.0,32,26,26,9659.615384615385,1.0
2026-08-23,394495.0,49,39,39,10115.25641025641,2.0
2026-08-24,184073.0,22,19,19,9688.052631578947,1.0
2026-08-25,141650.0,18,15,15,9443.333333333334,1.0
2026-08-26,84075.0,10,9,9,9341.666666666666,2.0
2026-08-27,137425.0,18,10,10,13742.5,0.0
2026-08-28,60200.0,7,6,6,10033.333333333334,1.0
2026-08-29,95525.0,13,10,10,9552.5,1.0
2026-08-30,176340.0,23,19,19,9281.052631578947,1.0
2026-08-31,206188.0,25,19,19,10852.0,0.0
2026-09-01,226880.0,28,19,19,11941.052631578947,0.0
2026-09-02,217280.0,28,23,23,9446.95652173913,1.0
2026-09-03,180400.0,22,20,20,9020.0,1.0
2026-09-04,269585.0,33,26,26,10368.653846153846,0.0
2026-09-05,484684.0,59,49,48,9891.510204081633,0.0
2026-09-06,396075.0,54,45,45,8801.666666666666,4.0
2026-09-07,173375.0,20,17,17,10198.529411764706,3.0
2026-09-08,64750.0,8,6,6,10791.666666666666,1.0
2026-09-09,193600.0,24,16,16,12100.0,1.0
2026-09-10,9950.0,1,1,1,9950.0,2.0
