model,campaign_id,cost,attributed_revenue,placements,orders,touches,romi,roas
last_touch,cmp_2,175000.0,453988.0,4,46,53,1.5942171428571428,2.594217142857143
linear,cmp_2,175000.0,453988.0,4,46,53,1.5942171428571428,2.594217142857143
time_decay,cmp_2,175000.0,453988.0,4,46,53,1.5942171428571428,2.594217142857143
last_touch,cmp_0,95000.0,227735.0,2,27,37,1.3972105263157895,2.3972105263157895
time_decay,cmp_0,95000.0,222978.7439511309,2,27,37,1.347144673169799,2.3471446731697987
linear,cmp_0,95000.0,222897.5,2,27,37,1.3462894736842106,2.3462894736842106
linear,cmp_3,150000.0,264020.0,3,31,38,0.7601333333333333,1.7601333333333333
time_decay,cmp_3,150000.0,263938.7560488691,3,31,38,0.7595917069924607,1.7595917069924607
last_touch,cmp_3,150000.0,259182.5,3,31,38,0.7278833333333333,1.7278833333333334
last_touch,cmp_4,55000.0,63090.0,1,7,9,0.14709090909090908,1.1470909090909092
linear,cmp_4,55000.0,63090.0,1,7,9,0.14709090909090908,1.1470909090909092
time_decay,cmp_4,55000.0,63090.0,1,7,9,0.14709090909090908,1.1470909090909092
