model,placement_id,cost,attributed_revenue,romi,roas
last_touch,pl_03,25000.0,114585.0,3.5834,4.5834
last_touch,pl_07,35000.0,135695.0,2.877,3.877
last_touch,pl_04,35000.0,122292.5,2.4940714285714285,3.4940714285714285
last_touch,pl_00,45000.0,143718.0,2.1937333333333333,3.1937333333333333
last_touch,pl_06,25000.0,66180.0,1.6472,2.6472
last_touch,pl_01,45000.0,73215.0,0.627,1.627
last_touch,pl_02,70000.0,113150.0,0.6164285714285714,1.6164285714285713
last_touch,pl_05,70000.0,108395.0,0.5485,1.5485
last_touch,pl_08,55000.0,63090.0,0.14709090909090908,1.1470909090909092
last_touch,pl_09,70000.0,63675.0,-0.09035714285714286,0.9096428571428572
linear,pl_03,25000.0,114585.0,3.5834,4.5834
linear,pl_07,35000.0,135695.0,2.877,3.877
linear,pl_04,35000.0,132080.0,2.7737142857142856,3.7737142857142856
linear,pl_00,45000.0,143718.0,2.1937333333333333,3.1937333333333333
linear,pl_06,25000.0,69917.5,1.7967,2.7967
linear,pl_01,45000.0,73215.0,0.627,1.627
linear,pl_02,70000.0,108312.5,0.5473214285714286,1.5473214285714285
linear,pl_05,70000.0,104657.5,0.49510714285714286,1.495107142857143
linear,pl_08,55000.0,63090.0,0.14709090909090908,1.1470909090909092
linear,pl_09,70000.0,58725.0,-0.16107142857142856,0.8389285714285715
time_decay,pl_03,25000.0,114585.0,3.5834,4.5834
time_decay,pl_07,35000.0,135695.0,2.877,3.877
time_decay,pl_04,35000.0,131226.66905579873,2.7493334015942494,3.7493334015942494
time_decay,pl_00,45000.0,143718.0,2.1937333333333333,3.1937333333333333
time_decay,pl_06,25000.0,68564.38085831676,1.7425752343326701,2.74257523433267
time_decay,pl_01,45000.0,73215.0,0.627,1.627
time_decay,pl_02,70000.0,108393.7439511309,0.5484820564447273,1.5484820564447273
time_decay,pl_05,70000.0,106010.61914168324,0.5144374163097606,1.5144374163097607
time_decay,pl_08,55000.0,63090.0,0.14709090909090908,1.1470909090909092
time_decay,pl_09,70000.0,59497.08699307038,-0.1500416143847089,0.8499583856152911
