placement_id,cost,campaign_id,channel_id,publication_time,attributed_revenue,orders,touches,model,romi,roas
pl_03,25000.0,cmp_0,ch_08,2026-09-06 01:05:29.600642801,114585.0,13,14,last_touch,3.5834,4.5834
pl_07,35000.0,cmp_2,ch_04,2026-08-28 18:47:41.378201049,135695.0,14,18,last_touch,2.877,3.877
pl_04,35000.0,cmp_3,ch_09,2026-08-05 14:53:51.878468612,122292.5,14,19,last_touch,2.4940714285714285,3.4940714285714285
pl_00,45000.0,cmp_2,ch_07,2026-09-07 06:58:02.316351210,143718.0,12,13,last_touch,2.1937333333333333,3.1937333333333333
pl_06,25000.0,cmp_2,ch_07,2026-08-11 00:15:02.040720644,66180.0,9,11,last_touch,1.6472,2.6472
pl_01,45000.0,cmp_3,ch_03,2026-08-12 09:47:16.745801574,73215.0,9,11,last_touch,0.627,1.627
pl_02,70000.0,cmp_0,ch_04,2026-08-27 08:55:04.751113416,113150.0,14,23,last_touch,0.6164285714285714,1.6164285714285713
pl_05,70000.0,cmp_2,ch_04,2026-09-08 19:08:55.112645682,108395.0,11,11,last_touch,0.5485,1.5485
pl_08,55000.0,cmp_4,ch_02,2026-08-15 13:22:53.679170108,63090.0,7,9,last_touch,0.14709090909090908,1.1470909090909092
pl_09,70000.0,cmp_3,ch_07,2026-08-14 16:02:07.282644204,63675.0,8,8,last_touch,-0.09035714285714286,0.9096428571428572
