date,revenue,orders,posts
2026-07-28,0.0,0.0,1.0
2026-07-29,0.0,0.0,1.0
2026-07-30,0.0,0.0,1.0
2026-07-31,0.0,0.0,1.0
2026-08-01,0.0,0.0,1.0
2026-08-02,0.0,0.0,1.0
2026-08-03,0.0,0.0,1.0
2026-08-04,84130.0,6.0,0.0
2026-08-05,67110.0,6.0,1.0
2026-08-06,62445.0,7.0,1.0
2026-08-07,54995.0,5.0,1.0
2026-08-08,275015.0,35.0,1.0
2026-08-09,524091.67,68.0,2.0
2026-08-10,205590.0,29.0,2.0
2026-08-11,96330.0,12.0,1.0
2026-08-12,114930.0,14.0,1.0
2026-08-13,72810.0,9.0,2.0
2026-08-14,76690.0,9.0,2.0
2026-08-15,48345.0,5.0,0.0
2026-08-16,43085.0,5.0,2.0
2026-08-17,33185.0,3.0,2.0
2026-08-18,61110.0,6.0,1.0
2026-08-19,56380.0,5.0,1.0
2026-08-20,52585.0,6.0,1.0
2026-08-21,28145.0,3.0,0.0
2026-08-22,251150.0,26.0,1.0
2026-08-23,394495.0,39.0,2.0
2026-08-24,184073.0,19.0,1.0
2026-08-25,141650.0,15.0,1.0
2026-08-26,84075.0,9.0,2.0
2026-08-27,137425.0,10.0,0.0
2026-08-28,60200.0,6.0,1.0
2026-08-29,95525.0,10.0,1.0
2026-08-30,176340.0,19.0,1.0
2026-08-31,206188.0,19.0,0.0
2026-09-01,226880.0,19.0,0.0
2026-09-02,217280.0,23.0,1.0
2026-09-03,180400.0,20.0,1.0
2026-09-04,269585.0,26.0,0.0
2026-09-05,484684.0,48.0,0.0
2026-09-06,396075.0,45.0,4.0
2026-09-07,173375.0,17.0,3.0
2026-09-08,64750.0,6.0,1.0
2026-09-09,193600.0,16.0,1.0
2026-09-10,9950.0,1.0,2.0
