placement_id,campaign_id,channel_id,creative_id,cost,publication_time,data_source
pl_000,cmp_000,ch_000,cr_000,6302.0,2026-08-20 05:43:26.596199361,synthetic
pl_001,cmp_001,ch_001,cr_001,31636.0,2026-09-04 18:26:05.830372707,synthetic
pl_002,cmp_002,ch_002,cr_002,6179.0,2026-08-07 11:37:46.145727238,synthetic
pl_003,cmp_003,ch_003,cr_003,28802.0,2026-09-09 02:21:09.533712381,synthetic
pl_004,cmp_004,ch_004,cr_004,30222.0,2026-09-02 02:01:30.371109366,synthetic
pl_005,cmp_005,ch_005,cr_005,31162.0,2026-08-08 17:45:53.660937185,synthetic
pl_006,cmp_006,ch_006,cr_006,34070.0,2026-08-17 17:16:07.123866715,synthetic
pl_007,cmp_007,ch_007,cr_007,19664.0,2026-09-07 06:58:02.316351210,synthetic
pl_008,cmp_000,ch_008,cr_008,31917.0,2026-09-03 10:36:44.325304189,synthetic
pl_009,cmp_001,ch_009,cr_009,26823.0,2026-08-20 09:45:06.510811212,synthetic
pl_010,cmp_002,ch_000,cr_010,19667.0,2026-08-24 12:28:16.647132220,synthetic
pl_011,cmp_003,ch_001,cr_011,11407.0,2026-08-06 08:40:11.004313827,synthetic
pl_012,cmp_004,ch_002,cr_012,34756.0,2026-08-27 08:55:04.751113416,synthetic
pl_013,cmp_005,ch_003,cr_013,33622.0,2026-09-01 01:10:54.887504923,synthetic
pl_014,cmp_006,ch_004,cr_014,28919.0,2026-09-08 21:58:47.444385627,synthetic
pl_015,cmp_007,ch_005,cr_000,16117.0,2026-09-06 01:05:29.600642801,synthetic
pl_016,cmp_000,ch_006,cr_001,28083.0,2026-08-11 04:50:21.021261169,synthetic
pl_017,cmp_001,ch_007,cr_002,31800.0,2026-08-21 06:26:53.704714582,synthetic
pl_018,cmp_002,ch_008,cr_003,21418.0,2026-08-09 17:00:32.648241536,synthetic
pl_019,cmp_003,ch_009,cr_004,4620.0,2026-08-29 06:32:50.893725479,synthetic
pl_020,cmp_004,ch_000,cr_005,37133.0,2026-09-08 19:08:55.112645682,synthetic
pl_021,cmp_005,ch_001,cr_006,30556.0,2026-08-16 01:19:58.504896044,synthetic
pl_022,cmp_006,ch_002,cr_007,36504.0,2026-08-21 08:57:56.017486502,synthetic
pl_023,cmp_007,ch_003,cr_008,16707.0,2026-08-11 00:15:02.040720644,synthetic
pl_024,cmp_000,ch_004,cr_009,20128.0,2026-08-21 14:25:33.508159065,synthetic
pl_025,cmp_001,ch_005,cr_010,7807.0,2026-08-12 09:29:43.807045866,synthetic
pl_026,cmp_002,ch_006,cr_011,23886.0,2026-08-20 04:11:27.254251066,synthetic
pl_027,cmp_003,ch_007,cr_012,27783.0,2026-09-03 19:25:05.657157695,synthetic
pl_028,cmp_004,ch_008,cr_013,26301.0,2026-08-15 13:22:53.679170108,synthetic
pl_029,cmp_005,ch_009,cr_014,28909.0,2026-09-03 19:02:48.133100178,synthetic
