order_id,user_id,placement_id,campaign_id,channel_id,click_timestamp,order_timestamp
so_00000,su_00000,pl_013,cmp_005,ch_003,2026-09-01 08:18:50.301833987,2026-09-07 08:24:40.050140554
so_00001,su_00014,pl_025,cmp_001,ch_005,2026-08-13 19:35:50.466075827,2026-08-15 11:04:25.129217907
so_00002,su_00032,pl_007,cmp_007,ch_007,2026-09-08 16:46:08.281499167,2026-09-13 13:07:11.013625416
so_00003,su_00043,pl_020,cmp_004,ch_000,2026-09-10 08:59:22.492756744,2026-09-17 07:54:58.083047185
so_00004,su_00056,pl_022,cmp_006,ch_002,2026-08-22 18:05:54.370510437,2026-08-28 07:21:26.895222237
so_00005,su_00062,pl_003,cmp_003,ch_003,2026-09-09 19:00:23.647480160,2026-09-11 21:26:23.089519975
so_00006,su_00063,pl_019,cmp_003,ch_009,2026-08-30 14:07:58.052554127,2026-09-01 07:49:26.294310982
so_00007,su_00064,pl_028,cmp_004,ch_008,2026-08-18 13:00:39.032584449,2026-08-20 06:10:17.659163252
so_00008,su_00074,pl_022,cmp_006,ch_002,2026-08-22 19:40:17.445461212,2026-08-27 21:20:45.629764405
so_00009,su_00076,pl_013,cmp_005,ch_003,2026-09-01 18:53:44.728035475,2026-09-07 10:30:24.016471102
so_00010,su_00081,pl_015,cmp_007,ch_005,2026-09-07 10:32:53.340705019,2026-09-11 22:00:16.661040231
so_00011,su_00107,pl_026,cmp_002,ch_006,2026-08-22 10:16:10.680852390,2026-08-27 00:22:47.212058870
so_00012,su_00130,pl_026,cmp_002,ch_006,2026-08-21 12:40:46.148562354,2026-08-23 10:37:40.284261943
so_00013,su_00132,pl_020,cmp_004,ch_000,2026-09-09 16:44:33.056968252,2026-09-14 16:31:18.206618211
so_00014,su_00133,pl_016,cmp_000,ch_006,2026-08-11 10:38:06.781536112,2026-08-16 20:53:51.640137130
so_00015,su_00140,pl_021,cmp_005,ch_001,2026-08-17 18:35:12.104281148,2026-08-22 21:47:00.303230140
so_00016,su_00146,pl_027,cmp_003,ch_007,2026-09-06 05:00:26.261116437,2026-09-11 05:32:40.465411243
