order_id,user_id,total_amount,course,timestamp,data_source
so_00000,su_00000,19990.0,Аналитика старт,2026-09-07 08:24:40.050140554,synthetic
so_00001,su_00014,19990.0,ML старт,2026-08-15 11:04:25.129217907,synthetic
so_00002,su_00032,9990.0,Линейная алгебра,2026-09-13 13:07:11.013625416,synthetic
so_00003,su_00043,5990.0,Теория вероятностей,2026-09-17 07:54:58.083047185,synthetic
so_00004,su_00056,9990.0,Алгоритмы про,2026-08-28 07:21:26.895222237,synthetic
so_00005,su_00062,3990.0,Алгоритмы про,2026-09-11 21:26:23.089519975,synthetic
so_00006,su_00063,9990.0,Data Science,2026-09-01 07:49:26.294310982,synthetic
so_00007,su_00064,9990.0,К ВУЗу,2026-08-20 06:10:17.659163252,synthetic
so_00008,su_00074,5990.0,Backend старт,2026-08-27 21:20:45.629764405,synthetic
so_00009,su_00076,19990.0,Алгоритмы про,2026-09-07 10:30:24.016471102,synthetic
so_00010,su_00081,14990.0,К ВУЗу,2026-09-11 22:00:16.661040231,synthetic
so_00011,su_00107,19990.0,Теория вероятностей,2026-08-27 00:22:47.212058870,synthetic
so_00012,su_00130,14990.0,Дискретка,2026-08-23 10:37:40.284261943,synthetic
so_00013,su_00132,5990.0,Линейная алгебра,2026-09-14 16:31:18.206618211,synthetic
so_00014,su_00133,14990.0,Дискретка,2026-08-16 20:53:51.640137130,synthetic
so_00015,su_00140,3990.0,Аналитика старт,2026-08-22 21:47:00.303230140,synthetic
so_00016,su_00146,19990.0,Линейная алгебра,2026-09-11 05:32:40.465411243,synthetic
so_00017,su_00154,19990.0,Data Engenering,2026-08-30 07:06:27.191034665,synthetic
so_00018,su_00155,5990.0,Data Engenering,2026-08-25 07:07:42.901162958,synthetic
so_00019,su_00156,19990.0,Алгоритмы старт,2026-09-10 01:06:41.680638822,synthetic
so_00020,su_00174,5990.0,К ВУЗу,2026-09-07 02:47:47.043167081,synthetic
so_00021,su_00192,5990.0,Аналитика старт,2026-09-15 08:17:32.252386001,synthetic
so_00022,su_00195,9990.0,Аналитика про,2026-09-05 08:48:26.671595830,synthetic
so_00023,su_00205,19990.0,AB тестам,2026-08-18 19:18:33.064727018,synthetic
so_00024,su_00206,5990.0,Backend про,2026-08-27 00:31:29.108526508,synthetic
so_00025,su_00214,9990.0,AB тестам,2026-09-16 17:16:13.533117664,synthetic
so_00026,su_00215,9990.0,Линейная алгебра,2026-09-18 15:11:48.637986139,synthetic
