model,campaign_id,cost,attributed_revenue,placements,orders,touches,romi,roas
last_touch,cmp_007,52488.0,172830.0,3,17,51,2.2927526291723823,3.2927526291723823
linear,cmp_007,52488.0,172830.0,3,17,51,2.2927526291723823,3.2927526291723823
time_decay,cmp_007,52488.0,172830.0,3,17,51,2.2927526291723823,3.2927526291723823
last_touch,cmp_002,71150.0,209800.0,4,20,60,1.948699929725931,2.9486999297259313
linear,cmp_002,71150.0,209800.0,4,20,60,1.948699929725931,2.9486999297259313
time_decay,cmp_002,71150.0,209800.0,4,20,60,1.948699929725931,2.9486999297259313
last_touch,cmp_003,72612.0,201840.0,4,16,46,1.7797058337464882,2.779705833746488
linear,cmp_003,72612.0,201840.0,4,16,46,1.7797058337464882,2.779705833746488
time_decay,cmp_003,72612.0,201840.0,4,16,46,1.7797058337464882,2.779705833746488
last_touch,cmp_000,86430.0,176830.0,4,17,49,1.045933125072313,2.0459331250723127
time_decay,cmp_000,86430.0,176830.0,4,17,49,1.045933125072313,2.0459331250723127
linear,cmp_000,86430.0,176830.0,4,17,49,1.045933125072313,2.0459331250723127
time_decay,cmp_001,98066.0,196840.0,4,16,46,1.0072196275977403,2.00721962759774
linear,cmp_001,98066.0,196840.0,4,16,46,1.0072196275977403,2.00721962759774
last_touch,cmp_001,98066.0,196840.0,4,16,46,1.0072196275977403,2.00721962759774
last_touch,cmp_005,124249.0,223780.0,4,22,62,0.8010607731249346,1.8010607731249346
time_decay,cmp_005,124249.0,223780.0,4,22,62,0.8010607731249346,1.8010607731249346
linear,cmp_005,124249.0,223779.99999999997,4,22,62,0.8010607731249344,1.8010607731249344
time_decay,cmp_004,128412.0,201780.0,4,22,58,0.5713484721054107,1.5713484721054107
last_touch,cmp_004,128412.0,201780.0,4,22,58,0.5713484721054107,1.5713484721054107
linear,cmp_004,128412.0,201780.0,4,22,58,0.5713484721054107,1.5713484721054107
last_touch,cmp_006,99493.0,105880.0,3,12,34,0.06419547103816349,1.0641954710381636
linear,cmp_006,99493.0,105880.0,3,12,34,0.06419547103816349,1.0641954710381636
time_decay,cmp_006,99493.0,105880.0,3,12,34,0.06419547103816349,1.0641954710381636
