model,placement_id,cost,attributed_revenue,romi,roas
last_touch,pl_019,4620.0,23970.0,4.188311688311688,5.188311688311688
last_touch,pl_002,6179.0,28960.0,3.6868425311539084,4.686842531153909
last_touch,pl_011,11407.0,39970.0,2.503988778820023,3.503988778820023
last_touch,pl_000,6302.0,21970.0,2.4861948587749922,3.4861948587749922
last_touch,pl_023,16707.0,56950.0,2.4087508230083197,3.4087508230083197
last_touch,pl_007,19664.0,66920.0,2.403173311635476,3.403173311635476
last_touch,pl_003,28802.0,93930.0,2.2612318588986877,3.2612318588986877
last_touch,pl_018,21418.0,68930.0,2.218321038378934,3.218321038378934
last_touch,pl_015,16117.0,48960.0,2.0377861884966184,3.0377861884966184
last_touch,pl_016,28083.0,84910.0,2.0235373713634583,3.0235373713634583
last_touch,pl_029,28909.0,84910.0,1.9371476010930853,2.937147601093085
last_touch,pl_010,19667.0,52950.0,1.6923272486907002,2.6923272486907
last_touch,pl_025,7807.0,19990.0,1.5605226079159729,2.560522607915973
last_touch,pl_017,31800.0,78950.0,1.4827044025157232,2.4827044025157234
last_touch,pl_024,20128.0,49960.0,1.482114467408585,2.482114467408585
last_touch,pl_026,23886.0,58960.0,1.468391526417148,2.468391526417148
last_touch,pl_013,33622.0,81930.0,1.4367973350782226,2.4367973350782224
last_touch,pl_009,26823.0,62940.0,1.3464936807963315,2.3464936807963315
last_touch,pl_028,26301.0,49950.0,0.8991673320406068,1.8991673320406068
last_touch,pl_012,34756.0,64940.0,0.8684543675912073,1.8684543675912073
last_touch,pl_006,34070.0,53950.0,0.5835045494570003,1.5835045494570004
last_touch,pl_027,27783.0,43970.0,0.5826224669762085,1.5826224669762086
last_touch,pl_004,30222.0,45950.0,0.5204155912911125,1.5204155912911124
last_touch,pl_021,30556.0,41950.0,0.37288912161277654,1.3728891216127765
last_touch,pl_001,31636.0,34960.0,0.10507017322038184,1.1050701732203818
last_touch,pl_020,37133.0,40940.0,0.10252336196913796,1.102523361969138
last_touch,pl_022,36504.0,31960.0,-0.1244795090948937,0.8755204909051063
last_touch,pl_014,28919.0,19970.0,-0.30945053425083857,0.6905494657491614
last_touch,pl_008,31917.0,19990.0,-0.3736880032584516,0.6263119967415484
last_touch,pl_005,31162.0,14990.0,-0.5189654065849432,0.4810345934150568
linear,pl_019,4620.0,23970.0,4.188311688311688,5.188311688311688
linear,pl_002,6179.0,28959.999999999996,3.686842531153908,4.686842531153908
linear,pl_011,11407.0,39970.0,2.503988778820023,3.503988778820023
linear,pl_000,6302.0,21969.999999999996,2.4861948587749914,3.4861948587749914
linear,pl_023,16707.0,56949.99999999999,2.408750823008319,3.408750823008319
linear,pl_007,19664.0,66920.0,2.403173311635476,3.403173311635476
linear,pl_003,28802.0,93930.0,2.2612318588986877,3.2612318588986877
linear,pl_018,21418.0,68930.0,2.218321038378934,3.218321038378934
linear,pl_015,16117.0,48960.0,2.0377861884966184,3.0377861884966184
linear,pl_016,28083.0,84910.0,2.0235373713634583,3.0235373713634583
linear,pl_029,28909.0,84909.99999999999,1.9371476010930846,2.9371476010930846
linear,pl_010,19667.0,52950.0,1.6923272486907002,2.6923272486907
linear,pl_025,7807.0,19990.0,1.5605226079159729,2.560522607915973
linear,pl_017,31800.0,78950.0,1.4827044025157232,2.4827044025157234
linear,pl_024,20128.0,49960.0,1.482114467408585,2.482114467408585
linear,pl_026,23886.0,58960.0,1.468391526417148,2.468391526417148
linear,pl_013,33622.0,81930.0,1.4367973350782226,2.4367973350782224
linear,pl_009,26823.0,62939.99999999999,1.3464936807963312,2.346493680796331
linear,pl_028,26301.0,49950.0,0.8991673320406068,1.8991673320406068
linear,pl_012,34756.0,64940.0,0.8684543675912073,1.8684543675912073
linear,pl_006,34070.0,53950.0,0.5835045494570003,1.5835045494570004
linear,pl_027,27783.0,43970.0,0.5826224669762085,1.5826224669762086
