placement_id,cost,campaign_id,channel_id,publication_time,attributed_revenue,orders,touches,model,romi,roas
pl_019,4620.0,cmp_003,ch_009,2026-08-29 06:32:50.893725479,23970.0,3,9,last_touch,4.188311688311688,5.188311688311688
pl_002,6179.0,cmp_002,ch_002,2026-08-07 11:37:46.145727238,28960.0,4,12,last_touch,3.6868425311539084,4.686842531153909
pl_011,11407.0,cmp_003,ch_001,2026-08-06 08:40:11.004313827,39970.0,3,7,last_touch,2.503988778820023,3.503988778820023
pl_000,6302.0,cmp_000,ch_000,2026-08-20 05:43:26.596199361,21970.0,3,9,last_touch,2.4861948587749922,3.4861948587749922
pl_023,16707.0,cmp_007,ch_003,2026-08-11 00:15:02.040720644,56950.0,5,15,last_touch,2.4087508230083197,3.4087508230083197
pl_007,19664.0,cmp_007,ch_007,2026-09-07 06:58:02.316351210,66920.0,8,24,last_touch,2.403173311635476,3.403173311635476
pl_003,28802.0,cmp_003,ch_003,2026-09-09 02:21:09.533712381,93930.0,7,21,last_touch,2.2612318588986877,3.2612318588986877
pl_018,21418.0,cmp_002,ch_008,2026-08-09 17:00:32.648241536,68930.0,7,21,last_touch,2.218321038378934,3.218321038378934
pl_015,16117.0,cmp_007,ch_005,2026-09-06 01:05:29.600642801,48960.0,4,12,last_touch,2.0377861884966184,3.0377861884966184
pl_016,28083.0,cmp_000,ch_006,2026-08-11 04:50:21.021261169,84910.0,9,25,last_touch,2.0235373713634583,3.0235373713634583
pl_029,28909.0,cmp_005,ch_009,2026-09-03 19:02:48.133100178,84910.0,9,27,last_touch,1.9371476010930853,2.937147601093085
pl_010,19667.0,cmp_002,ch_000,2026-08-24 12:28:16.647132220,52950.0,5,15,last_touch,1.6923272486907002,2.6923272486907
pl_025,7807.0,cmp_001,ch_005,2026-08-12 09:29:43.807045866,19990.0,1,3,last_touch,1.5605226079159729,2.560522607915973
pl_017,31800.0,cmp_001,ch_007,2026-08-21 06:26:53.704714582,78950.0,5,13,last_touch,1.4827044025157232,2.4827044025157234
pl_024,20128.0,cmp_000,ch_004,2026-08-21 14:25:33.508159065,49960.0,4,12,last_touch,1.482114467408585,2.482114467408585
pl_026,23886.0,cmp_002,ch_006,2026-08-20 04:11:27.254251066,58960.0,4,12,last_touch,1.468391526417148,2.468391526417148
pl_013,33622.0,cmp_005,ch_003,2026-09-01 01:10:54.887504923,81930.0,7,19,last_touch,1.4367973350782226,2.4367973350782224
pl_009,26823.0,cmp_001,ch_009,2026-08-20 09:45:06.510811212,62940.0,6,18,last_touch,1.3464936807963315,2.3464936807963315
pl_028,26301.0,cmp_004,ch_008,2026-08-15 13:22:53.679170108,49950.0,5,15,last_touch,0.8991673320406068,1.8991673320406068
pl_012,34756.0,cmp_004,ch_002,2026-08-27 08:55:04.751113416,64940.0,6,14,last_touch,0.8684543675912073,1.8684543675912073
pl_006,34070.0,cmp_006,ch_006,2026-08-17 17:16:07.123866715,53950.0,5,15,last_touch,0.5835045494570003,1.5835045494570004
pl_027,27783.0,cmp_003,ch_007,2026-09-03 19:25:05.657157695,43970.0,3,9,last_touch,0.5826224669762085,1.5826224669762086
pl_004,30222.0,cmp_004,ch_004,2026-09-02 02:01:30.371109366,45950.0,5,13,last_touch,0.5204155912911125,1.5204155912911124
pl_021,30556.0,cmp_005,ch_001,2026-08-16 01:19:58.504896044,41950.0,5,13,last_touch,0.37288912161277654,1.3728891216127765
pl_001,31636.0,cmp_001,ch_001,2026-09-04 18:26:05.830372707,34960.0,4,12,last_touch,0.10507017322038184,1.1050701732203818
pl_020,37133.0,cmp_004,ch_000,2026-09-08 19:08:55.112645682,40940.0,6,16,last_touch,0.10252336196913796,1.102523361969138
pl_022,36504.0,cmp_006,ch_002,2026-08-21 08:57:56.017486502,31960.0,4,12,last_touch,-0.1244795090948937,0.8755204909051063
pl_014,28919.0,cmp_006,ch_004,2026-09-08 21:58:47.444385627,19970.0,3,7,last_touch,-0.30945053425083857,0.6905494657491614
pl_008,31917.0,cmp_000,ch_008,2026-09-03 10:36:44.325304189,19990.0,1,3,last_touch,-0.3736880032584516,0.6263119967415484
pl_005,31162.0,cmp_005,ch_005,2026-08-08 17:45:53.660937185,14990.0,1,3,last_touch,-0.5189654065849432,0.4810345934150568
