touch_id,user_id,campaign_id,placement_id,creative_id,source_type,timestamp,start_param,data_source
st_000000,su_00000,cmp_005,pl_013,cr_013,click,2026-09-01 08:18:50.301833987,c_cmp_005_p_pl_013_cr_cr_013,synthetic
st_000001,su_00000,cmp_005,pl_013,cr_013,bot_start,2026-09-01 08:41:14.069581612,c_cmp_005_p_pl_013_cr_cr_013,synthetic
st_000002,su_00000,cmp_005,pl_013,cr_013,lead,2026-09-02 02:52:01.095742690,c_cmp_005_p_pl_013_cr_cr_013,synthetic
st_000003,su_00004,cmp_004,pl_004,cr_004,click,2026-09-04 13:22:38.273219861,c_cmp_004_p_pl_004_cr_cr_004,synthetic
st_000004,su_00004,cmp_004,pl_004,cr_004,bot_start,2026-09-04 13:52:21.549135668,c_cmp_004_p_pl_004_cr_cr_004,synthetic
st_000005,su_00004,cmp_004,pl_004,cr_004,lead,2026-09-05 05:43:51.018389350,c_cmp_004_p_pl_004_cr_cr_004,synthetic
st_000006,su_00005,cmp_005,pl_005,cr_005,click,2026-08-11 08:40:27.556925658,c_cmp_005_p_pl_005_cr_cr_005,synthetic
st_000007,su_00005,cmp_005,pl_005,cr_005,bot_start,2026-08-11 08:47:51.745308561,c_cmp_005_p_pl_005_cr_cr_005,synthetic
st_000008,su_00009,cmp_000,pl_016,cr_001,click,2026-08-12 16:06:06.861526342,c_cmp_000_p_pl_016_cr_cr_001,synthetic
st_000009,su_00010,cmp_002,pl_010,cr_010,click,2026-08-25 16:31:30.751504838,c_cmp_002_p_pl_010_cr_cr_010,synthetic
st_000010,su_00010,cmp_002,pl_010,cr_010,bot_start,2026-08-25 16:47:38.889643976,c_cmp_002_p_pl_010_cr_cr_010,synthetic
st_000011,su_00014,cmp_001,pl_025,cr_010,click,2026-08-13 19:35:50.466075827,c_cmp_001_p_pl_025_cr_cr_010,synthetic
st_000012,su_00014,cmp_001,pl_025,cr_010,bot_start,2026-08-13 20:03:58.309058113,c_cmp_001_p_pl_025_cr_cr_010,synthetic
st_000013,su_00014,cmp_001,pl_025,cr_010,lead,2026-08-14 01:37:22.391091702,c_cmp_001_p_pl_025_cr_cr_010,synthetic
st_000014,su_00016,cmp_006,pl_006,cr_006,click,2026-08-18 23:59:38.864288343,c_cmp_006_p_pl_006_cr_cr_006,synthetic
st_000015,su_00017,cmp_002,pl_010,cr_010,click,2026-08-24 16:55:23.250537835,c_cmp_002_p_pl_010_cr_cr_010,synthetic
st_000016,su_00017,cmp_002,pl_010,cr_010,bot_start,2026-08-24 17:04:04.015026374,c_cmp_002_p_pl_010_cr_cr_010,synthetic
st_000017,su_00018,cmp_002,pl_010,cr_010,click,2026-08-24 20:06:33.161249525,c_cmp_002_p_pl_010_cr_cr_010,synthetic
st_000018,su_00018,cmp_002,pl_010,cr_010,bot_start,2026-08-24 20:10:53.829251838,c_cmp_002_p_pl_010_cr_cr_010,synthetic
st_000019,su_00024,cmp_000,pl_024,cr_009,click,2026-08-23 08:44:08.853861055,c_cmp_000_p_pl_024_cr_cr_009,synthetic
st_000020,su_00024,cmp_000,pl_024,cr_009,bot_start,2026-08-23 08:54:27.542851011,c_cmp_000_p_pl_024_cr_cr_009,synthetic
st_000021,su_00025,cmp_003,pl_011,cr_011,click,2026-08-07 10:48:53.380853111,c_cmp_003_p_pl_011_cr_cr_011,synthetic
st_000022,su_00025,cmp_003,pl_011,cr_011,bot_start,2026-08-07 11:02:24.223919526,c_cmp_003_p_pl_011_cr_cr_011,synthetic
st_000023,su_00028,cmp_005,pl_029,cr_014,click,2026-09-04 22:36:57.916618052,c_cmp_005_p_pl_029_cr_cr_014,synthetic
st_000024,su_00029,cmp_002,pl_010,cr_010,click,2026-08-25 04:18:38.978669200,c_cmp_002_p_pl_010_cr_cr_010,synthetic
st_000025,su_00029,cmp_002,pl_010,cr_010,bot_start,2026-08-25 04:41:33.617473103,c_cmp_002_p_pl_010_cr_cr_010,synthetic
st_000026,su_00031,cmp_004,pl_020,cr_005,click,2026-09-11 13:42:27.075746075,c_cmp_004_p_pl_020_cr_cr_005,synthetic
st_000027,su_00031,cmp_004,pl_020,cr_005,bot_start,2026-09-11 13:43:35.112456062,c_cmp_004_p_pl_020_cr_cr_005,synthetic
st_000028,su_00031,cmp_004,pl_020,cr_005,lead,2026-09-12 06:12:58.543415737,c_cmp_004_p_pl_020_cr_cr_005,synthetic
st_000029,su_00032,cmp_007,pl_007,cr_007,click,2026-09-08 16:46:08.281499167,c_cmp_007_p_pl_007_cr_cr_007,synthetic
st_000030,su_00032,cmp_007,pl_007,cr_007,bot_start,2026-09-08 17:09:57.051998905,c_cmp_007_p_pl_007_cr_cr_007,synthetic
st_000031,su_00032,cmp_007,pl_007,cr_007,lead,2026-09-09 14:19:00.454232507,c_cmp_007_p_pl_007_cr_cr_007,synthetic
st_000032,su_00034,cmp_002,pl_002,cr_002,click,2026-08-10 01:18:28.427853436,c_cmp_002_p_pl_002_cr_cr_002,synthetic
st_000033,su_00037,cmp_000,pl_016,cr_001,click,2026-08-12 07:47:34.997545037,c_cmp_000_p_pl_016_cr_cr_001,synthetic
st_000034,su_00043,cmp_004,pl_020,cr_005,click,2026-09-10 08:59:22.492756744,c_cmp_004_p_pl_020_cr_cr_005,synthetic
st_000035,su_00043,cmp_004,pl_020,cr_005,bot_start,2026-09-10 09:04:25.437915015,c_cmp_004_p_pl_020_cr_cr_005,synthetic
st_000036,su_00043,cmp_004,pl_020,cr_005,lead,2026-09-10 17:39:39.773119174,c_cmp_004_p_pl_020_cr_cr_005,synthetic
st_000037,su_00045,cmp_002,pl_002,cr_002,click,2026-08-08 18:48:17.469364636,c_cmp_002_p_pl_002_cr_cr_002,synthetic
st_000038,su_00045,cmp_002,pl_002,cr_002,bot_start,2026-08-08 18:50:19.933426288,c_cmp_002_p_pl_002_cr_cr_002,synthetic
st_000039,su_00047,cmp_000,pl_016,cr_001,click,2026-08-13 21:54:10.429347908,c_cmp_000_p_pl_016_cr_cr_001,synthetic
st_000040,su_00051,cmp_002,pl_026,cr_011,click,2026-08-21 09:05:35.106050170,c_cmp_002_p_pl_026_cr_cr_011,synthetic
st_000041,su_00052,cmp_001,pl_017,cr_002,click,2026-08-21 20:29:15.867471174,c_cmp_001_p_pl_017_cr_cr_002,synthetic
st_000042,su_00052,cmp_001,pl_017,cr_002,bot_start,2026-08-21 20:58:13.876830285,c_cmp_001_p_pl_017_cr_cr_002,synthetic
st_000043,su_00055,cmp_005,pl_029,cr_014,click,2026-09-05 10:33:45.056756639,c_cmp_005_p_pl_029_cr_cr_014,synthetic
st_000044,su_00056,cmp_006,pl_022,cr_007,click,2026-08-22 18:05:54.370510437,c_cmp_006_p_pl_022_cr_cr_007,synthetic
st_000045,su_00056,cmp_006,pl_022,cr_007,bot_start,2026-08-22 18:17:23.552821893,c_cmp_006_p_pl_022_cr_cr_007,synthetic
st_000046,su_00056,cmp_006,pl_022,cr_007,lead,2026-08-22 20:53:56.676524144,c_cmp_006_p_pl_022_cr_cr_007,synthetic
st_000047,su_00057,cmp_003,pl_027,cr_012,click,2026-09-03 22:25:59.954971964,c_cmp_003_p_pl_027_cr_cr_012,synthetic
st_000048,su_00059,cmp_007,pl_015,cr_000,click,2026-09-06 05:06:12.482144061,c_cmp_007_p_pl_015_cr_cr_000,synthetic
st_000049,su_00059,cmp_007,pl_015,cr_000,bot_start,2026-09-06 05:09:02.673697003,c_cmp_007_p_pl_015_cr_cr_000,synthetic
st_000050,su_00062,cmp_003,pl_003,cr_003,click,2026-09-09 19:00:23.647480160,c_cmp_003_p_pl_003_cr_cr_003,synthetic
st_000051,su_00062,cmp_003,pl_003,cr_003,bot_start,2026-09-09 19:28:49.154434334,c_cmp_003_p_pl_003_cr_cr_003,synthetic
st_000052,su_00062,cmp_003,pl_003,cr_003,lead,2026-09-10 14:05:36.568310424,c_cmp_003_p_pl_003_cr_cr_003,synthetic
st_000053,su_00063,cmp_003,pl_019,cr_004,click,2026-08-30 14:07:58.052554127,c_cmp_003_p_pl_019_cr_cr_004,synthetic
st_000054,su_00063,cmp_003,pl_019,cr_004,bot_start,2026-08-30 14:29:54.170350479,c_cmp_003_p_pl_019_cr_cr_004,synthetic
st_000055,su_00063,cmp_003,pl_019,cr_004,lead,2026-08-31 13:00:36.426282268,c_cmp_003_p_pl_019_cr_cr_004,synthetic
st_000056,su_00064,cmp_004,pl_028,cr_013,click,2026-08-18 13:00:39.032584449,c_cmp_004_p_pl_028_cr_cr_013,synthetic
st_000057,su_00064,cmp_004,pl_028,cr_013,bot_start,2026-08-18 13:15:30.659634936,c_cmp_004_p_pl_028_cr_cr_013,synthetic
st_000058,su_00064,cmp_004,pl_028,cr_013,lead,2026-08-18 15:19:44.118482679,c_cmp_004_p_pl_028_cr_cr_013,synthetic
st_000059,su_00069,cmp_002,pl_018,cr_003,click,2026-08-12 14:11:27.732390741,c_cmp_002_p_pl_018_cr_cr_003,synthetic
st_000060,su_00070,cmp_001,pl_001,cr_001,click,2026-09-06 03:48:15.046523061,c_cmp_001_p_pl_001_cr_cr_001,synthetic
st_000061,su_00070,cmp_001,pl_001,cr_001,bot_start,2026-09-06 04:10:51.701209499,c_cmp_001_p_pl_001_cr_cr_001,synthetic
st_000062,su_00070,cmp_001,pl_001,cr_001,lead,2026-09-06 09:20:51.879144247,c_cmp_001_p_pl_001_cr_cr_001,synthetic
st_000063,su_00074,cmp_006,pl_022,cr_007,click,2026-08-22 19:40:17.445461212,c_cmp_006_p_pl_022_cr_cr_007,synthetic
st_000064,su_00074,cmp_006,pl_022,cr_007,bot_start,2026-08-22 19:49:13.213142912,c_cmp_006_p_pl_022_cr_cr_007,synthetic
st_000065,su_00074,cmp_006,pl_022,cr_007,lead,2026-08-22 23:18:40.779521548,c_cmp_006_p_pl_022_cr_cr_007,synthetic
st_000066,su_00076,cmp_005,pl_013,cr_013,click,2026-09-01 18:53:44.728035475,c_cmp_005_p_pl_013_cr_cr_013,synthetic
st_000067,su_00076,cmp_005,pl_013,cr_013,bot_start,2026-09-01 18:59:51.586738441,c_cmp_005_p_pl_013_cr_cr_013,synthetic
st_000068,su_00076,cmp_005,pl_013,cr_013,lead,2026-09-02 04:42:39.864634787,c_cmp_005_p_pl_013_cr_cr_013,synthetic
st_000069,su_00078,cmp_000,pl_008,cr_008,click,2026-09-04 08:46:27.420766910,c_cmp_000_p_pl_008_cr_cr_008,synthetic
st_000070,su_00081,cmp_007,pl_015,cr_000,click,2026-09-07 10:32:53.340705019,c_cmp_007_p_pl_015_cr_cr_000,synthetic
st_000071,su_00081,cmp_007,pl_015,cr_000,bot_start,2026-09-07 10:34:20.842371484,c_cmp_007_p_pl_015_cr_cr_000,synthetic
st_000072,su_00081,cmp_007,pl_015,cr_000,lead,2026-09-07 22:41:19.851908512,c_cmp_007_p_pl_015_cr_cr_000,synthetic
st_000073,su_00084,cmp_004,pl_020,cr_005,click,2026-09-11 11:16:35.117066100,c_cmp_004_p_pl_020_cr_cr_005,synthetic
st_000074,su_00084,cmp_004,pl_020,cr_005,bot_start,2026-09-11 11:29:14.008309276,c_cmp_004_p_pl_020_cr_cr_005,synthetic
