touch_id,user_id,touch_type,campaign_id,placement_id,creative_id,timestamp,start_param,data_source
t_000000,1,bot_start,cmp_000,pl_001,cr_004,2026-09-01 11:19:12.482361299,c_cmp_000_p_pl_001_cr_cr_004,synthetic
t_000179,2,click,cmp_002,pl_002,cr_002,2026-09-01 03:47:50.721062612,c_cmp_002_p_pl_002_cr_cr_002,synthetic
t_000379,3,lead,cmp_002,pl_002,cr_002,2026-09-03 01:44:39.894507387,c_cmp_002_p_pl_002_cr_cr_002,synthetic
t_000549,4,bot_start,cmp_002,pl_002,cr_002,2026-08-24 20:03:59.388523295,c_cmp_002_p_pl_002_cr_cr_002,synthetic
t_000748,5,click,cmp_000,pl_001,cr_004,2026-08-17 23:28:26.575426469,c_cmp_000_p_pl_001_cr_cr_004,synthetic
t_000749,5,click,cmp_002,pl_000,cr_000,2026-08-20 05:14:12.860278131,c_cmp_002_p_pl_000_cr_cr_000,synthetic
t_000947,6,lead,cmp_002,pl_008,cr_001,2026-08-31 01:17:53.912959132,c_cmp_002_p_pl_008_cr_cr_001,synthetic
t_000974,7,click,cmp_003,pl_009,cr_000,2026-08-04 13:06:26.452229843,c_cmp_003_p_pl_009_cr_cr_000,synthetic
t_000973,7,click,cmp_001,pl_006,cr_002,2026-08-04 18:26:07.392969784,c_cmp_001_p_pl_006_cr_cr_002,synthetic
t_000975,7,bot_start,cmp_002,pl_000,cr_000,2026-08-06 01:15:12.449129341,c_cmp_002_p_pl_000_cr_cr_000,synthetic
t_000992,8,bot_start,cmp_001,pl_006,cr_002,2026-08-04 02:17:29.766793276,c_cmp_001_p_pl_006_cr_cr_002,synthetic
t_000993,8,click,cmp_002,pl_000,cr_000,2026-08-04 12:26:45.363179156,c_cmp_002_p_pl_000_cr_cr_000,synthetic
t_000991,8,click,cmp_002,pl_005,cr_004,2026-08-04 13:06:38.649811249,c_cmp_002_p_pl_005_cr_cr_004,synthetic
t_001015,9,click,cmp_003,pl_009,cr_000,2026-08-28 08:55:48.022511603,c_cmp_003_p_pl_009_cr_cr_000,synthetic
t_000001,10,click,cmp_003,pl_007,cr_003,2026-08-31 22:53:01.336829796,c_cmp_003_p_pl_007_cr_cr_003,synthetic
t_000019,11,bot_start,cmp_000,pl_004,cr_003,2026-08-22 09:49:42.432044547,c_cmp_000_p_pl_004_cr_cr_003,synthetic
t_000032,12,click,cmp_002,pl_005,cr_004,2026-08-05 20:31:04.916223470,c_cmp_002_p_pl_005_cr_cr_004,synthetic
t_000034,12,lead,cmp_003,pl_009,cr_000,2026-08-06 08:59:30.491102294,c_cmp_003_p_pl_009_cr_cr_000,synthetic
t_000033,12,click,cmp_003,pl_009,cr_000,2026-08-08 03:11:17.249645939,c_cmp_003_p_pl_009_cr_cr_000,synthetic
t_000052,13,click,cmp_001,pl_006,cr_002,2026-09-01 12:31:18.982461132,c_cmp_001_p_pl_006_cr_cr_002,synthetic
t_000067,14,click,cmp_003,pl_007,cr_003,2026-08-24 12:55:19.952227360,c_cmp_003_p_pl_007_cr_cr_003,synthetic
t_000089,15,bot_start,cmp_001,pl_006,cr_002,2026-08-30 19:35:11.452202569,c_cmp_001_p_pl_006_cr_cr_002,synthetic
t_000090,15,bot_start,cmp_003,pl_009,cr_000,2026-09-03 13:19:28.487725712,c_cmp_003_p_pl_009_cr_cr_000,synthetic
t_000107,16,click,cmp_002,pl_008,cr_001,2026-08-06 09:10:09.210893501,c_cmp_002_p_pl_008_cr_cr_001,synthetic
t_000125,17,click,cmp_002,pl_002,cr_002,2026-08-21 22:03:25.071632045,c_cmp_002_p_pl_002_cr_cr_002,synthetic
t_000145,18,bot_start,cmp_004,pl_003,cr_000,2026-08-31 17:08:37.358940341,c_cmp_004_p_pl_003_cr_cr_000,synthetic
t_000166,19,click,cmp_001,pl_006,cr_002,2026-08-04 02:28:19.431908845,c_cmp_001_p_pl_006_cr_cr_002,synthetic
t_000181,20,click,cmp_003,pl_009,cr_000,2026-08-30 13:30:40.821920332,c_cmp_003_p_pl_009_cr_cr_000,synthetic
t_000180,20,click,cmp_002,pl_008,cr_001,2026-08-30 23:47:05.468805055,c_cmp_002_p_pl_008_cr_cr_001,synthetic
t_000196,21,click,cmp_002,pl_005,cr_004,2026-08-04 09:42:24.953587097,c_cmp_002_p_pl_005_cr_cr_004,synthetic
t_000195,21,click,cmp_004,pl_003,cr_000,2026-08-07 12:51:04.860709507,c_cmp_004_p_pl_003_cr_cr_000,synthetic
t_000194,21,bot_start,cmp_001,pl_006,cr_002,2026-08-10 02:32:52.916548215,c_cmp_001_p_pl_006_cr_cr_002,synthetic
t_000216,22,click,cmp_001,pl_006,cr_002,2026-08-31 13:47:50.338582442,c_cmp_001_p_pl_006_cr_cr_002,synthetic
