Номер студента,Сумма,Курс,Время,Дата,Ключ заказа,Корзина
477,500.0,Теория вероятностей,2026-08-06 14:52:49,2026-08-06,477|2026-08-06 14:52:49,<1000
462,500.0,Алгоритмы старт,2026-08-09 16:45:22,2026-08-09,462|2026-08-09 16:45:22,<1000
437,1000.0,AI агенты,2026-08-30 16:16:42,2026-08-30,437|2026-08-30 16:16:42,1000-3000
366,2237.5,AI агенты,2026-09-06 15:18:37,2026-09-06,366|2026-09-06 15:18:37,1000-3000
366,2237.5,ML про,2026-09-06 15:18:37,2026-09-06,366|2026-09-06 15:18:37,1000-3000
366,2237.5,ML старт,2026-09-06 15:18:37,2026-09-06,366|2026-09-06 15:18:37,1000-3000
55,2237.5,AI агенты,2026-09-06 15:35:13,2026-09-06,55|2026-09-06 15:35:13,1000-3000
366,2237.5,Алгоритмы старт,2026-09-06 15:18:37,2026-09-06,366|2026-09-06 15:18:37,1000-3000
180,2237.5,Алгоритмы старт,2026-09-06 16:23:30,2026-09-06,180|2026-09-06 16:23:30,1000-3000
51,2237.5,ML про,2026-09-06 15:46:24,2026-09-06,51|2026-09-06 15:46:24,1000-3000
23,2237.5,ML старт,2026-09-06 15:39:44,2026-09-06,23|2026-09-06 15:39:44,1000-3000
276,2875.0,Алгоритмы старт,2026-08-15 12:43:23,2026-08-15,276|2026-08-15 12:43:23,1000-3000
276,2875.0,ML старт,2026-08-15 12:43:23,2026-08-15,276|2026-08-15 12:43:23,1000-3000
