Номер студента,Время,Кол-во
36,2026-09-09 19:26:20,5
231,2026-09-01 18:08:01,5
191,2026-08-27 15:11:14,4
366,2026-09-06 15:18:37,4
58,2026-08-09 16:12:46,3
575,2026-08-19 09:21:46,3
519,2026-08-10 16:09:27,3
601,2026-09-04 04:51:49,3
8,2026-08-08 16:25:39,2
33,2026-08-08 16:26:36,2
43,2026-09-05 07:16:30,2
47,2026-08-08 12:24:55,2
49,2026-09-06 14:51:02,2
61,2026-08-27 19:44:33,2
62,2026-08-09 18:47:09,2
63,2026-08-09 19:29:08,2
68,2026-09-08 17:53:12,2
72,2026-09-07 19:19:58,2
75,2026-08-18 18:53:33,2
20,2026-09-06 11:07:00,2
16,2026-08-10 16:56:42,2
21,2026-08-10 16:29:36,2
26,2026-08-31 14:03:44,2
28,2026-09-04 15:15:34,2
19,2026-08-09 11:01:50,2
104,2026-08-23 21:00:30,2
102,2026-09-07 12:59:48,2
98,2026-08-23 14:14:48,2
95,2026-08-23 19:08:11,2
82,2026-08-11 12:46:14,2
76,2026-08-30 14:48:44,2
112,2026-08-11 18:41:42,2
106,2026-08-10 10:53:02,2
136,2026-08-27 08:57:04,2
139,2026-09-01 20:30:07,2
144,2026-08-29 11:51:08,2
147,2026-09-05 19:46:01,2
116,2026-08-25 10:01:02,2
122,2026-08-27 20:55:44,2
133,2026-08-16 09:59:37,2
107,2026-08-23 18:28:17,2
158,2026-08-10 12:37:30,2
159,2026-08-05 12:56:32,2
167,2026-08-09 09:07:16,2
161,2026-08-08 19:49:42,2
173,2026-08-11 07:48:36,2
174,2026-09-05 18:41:16,2
185,2026-08-27 14:36:47,2
168,2026-08-25 06:26:04,2
187,2026-08-09 18:48:05,2
192,2026-08-24 15:05:04,2
197,2026-09-04 15:39:31,2
200,2026-08-22 19:40:16,2
155,2026-09-05 10:20:56,2
156,2026-08-22 10:54:14,2
157,2026-08-31 06:39:53,2
114,2026-09-01 19:16:56,2
211,2026-08-22 11:08:24,2
212,2026-09-09 15:03:44,2
221,2026-08-23 07:41:37,2
218,2026-08-22 09:03:23,2
222,2026-08-05 18:52:56,2
227,2026-08-08 20:08:33,2
247,2026-09-01 14:59:35,2
250,2026-09-05 14:54:24,2
254,2026-09-07 14:53:39,2
260,2026-08-12 05:32:11,2
264,2026-09-02 18:37:57,2
271,2026-09-03 12:55:50,2
275,2026-09-06 11:58:58,2
276,2026-08-15 12:43:23,2
278,2026-09-06 17:31:06,2
283,2026-09-09 13:34:09,2
285,2026-08-30 08:22:49,2
291,2026-08-06 10:06:16,2
301,2026-08-31 20:57:15,2
303,2026-09-04 15:21:52,2
305,2026-08-31 17:03:19,2
308,2026-08-08 14:05:17,2
310,2026-09-06 16:38:02,2
311,2026-08-11 16:15:41,2
315,2026-08-23 16:40:25,2
320,2026-08-08 19:54:31,2
322,2026-08-28 14:03:47,2
323,2026-08-09 18:56:09,2
202,2026-08-25 19:24:14,2
203,2026-08-23 20:42:20,2
206,2026-08-09 13:00:12,2
135,2026-08-08 20:00:19,2
331,2026-08-09 16:31:09,2
330,2026-09-03 15:10:16,2
328,2026-09-05 10:58:26,2
326,2026-09-04 10:55:46,2
338,2026-08-23 06:47:37,2
334,2026-08-07 11:16:14,2
336,2026-08-09 13:48:41,2
335,2026-08-09 16:07:42,2
373,2026-08-22 18:58:36,2
377,2026-09-05 19:24:12,2
382,2026-08-09 18:58:42,2
385,2026-09-02 14:17:34,2
389,2026-08-09 10:18:12,2
340,2026-08-29 09:29:52,2
361,2026-08-17 10:53:42,2
371,2026-08-09 17:17:09,2
418,2026-08-26 04:03:43,2
419,2026-09-02 10:06:52,2
421,2026-08-08 20:25:37,2
424,2026-08-23 17:45:31,2
427,2026-08-08 19:23:46,2
428,2026-09-04 18:33:44,2
433,2026-08-09 19:40:37,2
435,2026-08-09 16:13:53,2
443,2026-08-04 10:14:38,2
444,2026-09-09 16:46:07,2
448,2026-08-14 14:23:30,2
461,2026-09-05 15:01:05,2
470,2026-08-09 17:24:05,2
402,2026-08-09 17:25:40,2
412,2026-08-08 14:06:52,2
416,2026-09-05 21:19:33,2
487,2026-09-05 11:02:17,2
482,2026-08-15 16:30:16,2
476,2026-08-09 14:14:07,2
495,2026-09-01 10:30:21,2
505,2026-08-11 18:00:05,2
508,2026-08-09 21:33:27,2
503,2026-08-31 14:40:32,2
498,2026-08-10 18:10:53,2
527,2026-08-09 10:49:47,2
529,2026-08-24 13:11:03,2
532,2026-08-08 16:22:47,2
535,2026-08-30 08:24:30,2
536,2026-08-12 12:22:52,2
537,2026-08-12 04:49:43,2
513,2026-08-23 17:34:10,2
516,2026-08-08 16:59:49,2
541,2026-09-02 10:48:17,2
538,2026-08-31 06:14:52,2
547,2026-09-01 15:53:22,2
548,2026-09-08 12:45:32,2
555,2026-09-02 09:38:46,2
565,2026-08-30 15:30:24,2
549,2026-08-24 05:25:17,2
554,2026-08-08 12:44:01,2
568,2026-08-27 15:10:07,2
567,2026-09-09 15:06:26,2
571,2026-08-04 17:19:52,2
570,2026-08-09 09:24:57,2
585,2026-08-29 19:40:39,2
595,2026-08-22 16:55:59,2
598,2026-08-09 09:43:34,2
601,2026-09-06 14:28:33,2
