Дата,Выручка,Строк,Заказов,Покупателей,Средний_чек_строка,Средний_чек_заказ,Накопительная_выручка,День_недели
2026-08-04,84130.0,9,7,6,9347.78,12018.57,84130.0,Tuesday
2026-08-05,67110.0,8,6,6,8388.75,11185.0,151240.0,Wednesday
2026-08-06,62445.0,8,7,7,7805.62,8920.71,213685.0,Thursday
2026-08-07,54995.0,6,5,5,9165.83,10999.0,268680.0,Friday
2026-08-08,275015.0,49,35,35,5612.55,7857.57,543695.0,Saturday
2026-08-09,524091.67,92,68,68,5696.65,7707.23,1067786.67,Sunday
2026-08-10,205590.0,36,29,29,5710.83,7089.31,1273376.67,Monday
2026-08-11,96330.0,17,12,12,5666.47,8027.5,1369706.67,Tuesday
2026-08-12,114930.0,17,14,14,6760.59,8209.29,1484636.67,Wednesday
2026-08-13,72810.0,9,9,9,8090.0,8090.0,1557446.67,Thursday
2026-08-14,76690.0,10,9,9,7669.0,8521.11,1634136.67,Friday
2026-08-15,48345.0,7,5,5,6906.43,9669.0,1682481.67,Saturday
2026-08-16,43085.0,6,5,5,7180.83,8617.0,1725566.67,Sunday
2026-08-17,33185.0,4,3,3,8296.25,11061.67,1758751.67,Monday
2026-08-18,61110.0,7,6,6,8730.0,10185.0,1819861.67,Tuesday
2026-08-19,56380.0,7,5,5,8054.29,11276.0,1876241.67,Wednesday
2026-08-20,52585.0,6,6,6,8764.17,8764.17,1928826.67,Thursday
2026-08-21,28145.0,3,3,3,9381.67,9381.67,1956971.67,Friday
2026-08-22,251150.0,32,26,26,7848.44,9659.62,2208121.67,Saturday
2026-08-23,394495.0,49,39,39,8050.92,10115.26,2602616.67,Sunday
2026-08-24,184073.0,22,19,19,8366.95,9688.05,2786689.67,Monday
2026-08-25,141650.0,18,15,15,7869.44,9443.33,2928339.67,Tuesday
2026-08-26,84075.0,10,9,9,8407.5,9341.67,3012414.67,Wednesday
2026-08-27,137425.0,18,10,10,7634.72,13742.5,3149839.67,Thursday
2026-08-28,60200.0,7,6,6,8600.0,10033.33,3210039.67,Friday
2026-08-29,95525.0,13,10,10,7348.08,9552.5,3305564.67,Saturday
2026-08-30,176340.0,23,19,19,7666.96,9281.05,3481904.67,Sunday
2026-08-31,206188.0,25,19,19,8247.52,10852.0,3688092.67,Monday
2026-09-01,226880.0,28,19,19,8102.86,11941.05,3914972.67,Tuesday
2026-09-02,217280.0,28,23,23,7760.0,9446.96,4132252.67,Wednesday
2026-09-03,180400.0,22,20,20,8200.0,9020.0,4312652.67,Thursday
2026-09-04,269585.0,33,26,26,8169.24,10368.65,4582237.67,Friday
2026-09-05,484684.0,59,49,48,8214.98,9891.51,5066921.67,Saturday
2026-09-06,396075.0,54,45,45,7334.72,8801.67,5462996.67,Sunday
2026-09-07,173375.0,20,17,17,8668.75,10198.53,5636371.67,Monday
2026-09-08,64750.0,8,6,6,8093.75,10791.67,5701121.67,Tuesday
2026-09-09,193600.0,24,16,16,8066.67,12100.0,5894721.67,Wednesday
2026-09-10,9950.0,1,1,1,9950.0,9950.0,5904671.67,Thursday
