Курс,Выручка,Строк,Заказов,Покупателей,Средний_чек,Доля_выручки_%,Накопительная_доля_%
Аналитика про,740941.5,93,93,92,7967.112903225807,12.55,12.55
ML про,715110.0,90,90,90,7945.666666666667,12.11,24.66
AI агенты,711673.0,91,91,90,7820.582417582417,12.05,36.71
Аналитика старт,641616.5,91,91,91,7050.7307692307695,10.87,47.58
Алгоритмы старт,529851.68,88,88,88,6021.041818181819,8.97,56.55
ML старт,523278.33,80,80,80,6540.979125,8.86,65.41
Backend про,438342.5,55,55,55,7969.863636363636,7.42,72.83
Алгоритмы про,268409.0,35,35,35,7668.828571428571,4.55,77.38
Backend старт,263396.66,39,39,39,6753.760512820512,4.46,81.84
Алгоритмы,209482.5,30,30,30,6982.75,3.55,85.39
Мат анализ,191382.5,20,20,20,9569.125,3.24,88.63
Линейная алгебра,180665.0,19,19,19,9508.684210526315,3.06,91.69
К ВУЗу,180250.0,26,26,25,6932.692307692308,3.05,94.74
Теория вероятностей,132107.5,13,13,13,10162.115384615385,2.24,96.98
Data Science,69295.0,9,9,9,7699.444444444444,1.17,98.15
АВ тестам,49610.0,8,8,8,6201.25,0.84,98.99
Дискретка,34415.0,4,4,4,8603.75,0.58,99.57
Data Engenering,24845.0,4,4,4,6211.25,0.42,99.99
