Номер студента,Сумма,Курс,Время,Дата,Ключ заказа
437,8950.0,ML про,2026-08-04 09:08:31,2026-08-04,437|2026-08-04 09:08:31
437,7890.0,Аналитика старт,2026-08-04 09:35:00,2026-08-04,437|2026-08-04 09:35:00
443,8475.0,Линейная алгебра,2026-08-04 10:14:38,2026-08-04,443|2026-08-04 10:14:38
443,8475.0,Мат анализ,2026-08-04 10:14:38,2026-08-04,443|2026-08-04 10:14:38
430,8950.0,К ВУЗу,2026-08-04 13:38:06,2026-08-04,430|2026-08-04 13:38:06
480,15695.0,Data Science,2026-08-04 16:17:19,2026-08-04,480|2026-08-04 16:17:19
131,8745.0,Backend старт,2026-08-04 17:05:46,2026-08-04,131|2026-08-04 17:05:46
571,8475.0,ML про,2026-08-04 17:19:52,2026-08-04,571|2026-08-04 17:19:52
571,8475.0,ML старт,2026-08-04 17:19:52,2026-08-04,571|2026-08-04 17:19:52
159,8475.0,Backend про,2026-08-05 12:56:32,2026-08-05,159|2026-08-05 12:56:32
159,8475.0,Backend старт,2026-08-05 12:56:32,2026-08-05,159|2026-08-05 12:56:32
126,8745.0,ML старт,2026-08-05 13:22:41,2026-08-05,126|2026-08-05 13:22:41
225,8745.0,АВ тестам,2026-08-05 14:22:34,2026-08-05,225|2026-08-05 14:22:34
137,8475.0,Backend старт,2026-08-05 15:01:16,2026-08-05,137|2026-08-05 15:01:16
280,8245.0,ML старт,2026-08-05 16:37:02,2026-08-05,280|2026-08-05 16:37:02
222,7975.0,Backend про,2026-08-05 18:52:56,2026-08-05,222|2026-08-05 18:52:56
222,7975.0,Backend старт,2026-08-05 18:52:56,2026-08-05,222|2026-08-05 18:52:56
291,9950.0,Линейная алгебра,2026-08-06 10:06:16,2026-08-06,291|2026-08-06 10:06:16
291,9950.0,Мат анализ,2026-08-06 10:06:16,2026-08-06,291|2026-08-06 10:06:16
295,6950.0,К ВУЗу,2026-08-06 10:14:55,2026-08-06,295|2026-08-06 10:14:55
294,9950.0,Линейная алгебра,2026-08-06 10:39:31,2026-08-06,294|2026-08-06 10:39:31
325,9950.0,Линейная алгебра,2026-08-06 11:41:17,2026-08-06,325|2026-08-06 11:41:17
166,6950.0,К ВУЗу,2026-08-06 12:15:46,2026-08-06,166|2026-08-06 12:15:46
477,500.0,Теория вероятностей,2026-08-06 14:52:49,2026-08-06,477|2026-08-06 14:52:49
579,8245.0,ML старт,2026-08-06 16:20:47,2026-08-06,579|2026-08-06 16:20:47
334,9950.0,Линейная алгебра,2026-08-07 11:16:14,2026-08-07,334|2026-08-07 11:16:14
334,9950.0,Мат анализ,2026-08-07 11:16:14,2026-08-07,334|2026-08-07 11:16:14
459,9950.0,Мат анализ,2026-08-07 11:31:08,2026-08-07,459|2026-08-07 11:31:08
313,9450.0,Мат анализ,2026-08-07 11:58:49,2026-08-07,313|2026-08-07 11:58:49
481,8745.0,ML про,2026-08-07 13:09:54,2026-08-07,481|2026-08-07 13:09:54
249,6950.0,К ВУЗу,2026-08-07 19:38:55,2026-08-07,249|2026-08-07 19:38:55
259,8745.0,ML про,2026-08-08 07:59:01,2026-08-08,259|2026-08-08 07:59:01
26,6490.0,Backend старт,2026-08-08 09:23:01,2026-08-08,26|2026-08-08 09:23:01
183,6490.0,Backend старт,2026-08-08 10:08:11,2026-08-08,183|2026-08-08 10:08:11
47,4995.0,ML старт,2026-08-08 12:24:55,2026-08-08,47|2026-08-08 12:24:55
47,4995.0,Алгоритмы старт,2026-08-08 12:24:55,2026-08-08,47|2026-08-08 12:24:55
518,6490.0,Алгоритмы старт,2026-08-08 12:37:37,2026-08-08,518|2026-08-08 12:37:37
54,6490.0,Алгоритмы старт,2026-08-08 12:39:51,2026-08-08,54|2026-08-08 12:39:51
554,5000.0,ML старт,2026-08-08 12:44:01,2026-08-08,554|2026-08-08 12:44:01
554,5000.0,Алгоритмы старт,2026-08-08 12:44:01,2026-08-08,554|2026-08-08 12:44:01
473,10000.0,Алгоритмы,2026-08-08 13:57:16,2026-08-08,473|2026-08-08 13:57:16
308,4950.0,Backend старт,2026-08-08 14:05:17,2026-08-08,308|2026-08-08 14:05:17
308,4950.0,Алгоритмы старт,2026-08-08 14:05:17,2026-08-08,308|2026-08-08 14:05:17
412,4995.0,ML старт,2026-08-08 14:06:52,2026-08-08,412|2026-08-08 14:06:52
412,4995.0,Алгоритмы старт,2026-08-08 14:06:52,2026-08-08,412|2026-08-08 14:06:52
7,4950.0,Backend старт,2026-08-08 14:07:56,2026-08-08,7|2026-08-08 14:07:56
370,6490.0,Backend старт,2026-08-08 14:10:35,2026-08-08,370|2026-08-08 14:10:35
532,4995.0,Аналитика про,2026-08-08 16:22:47,2026-08-08,532|2026-08-08 16:22:47
532,4995.0,Аналитика старт,2026-08-08 16:22:47,2026-08-08,532|2026-08-08 16:22:47
451,8245.0,Backend про,2026-08-08 16:24:46,2026-08-08,451|2026-08-08 16:24:46
265,5990.0,ML старт,2026-08-08 16:25:28,2026-08-08,265|2026-08-08 16:25:28
8,4495.0,АВ тестам,2026-08-08 16:25:39,2026-08-08,8|2026-08-08 16:25:39
8,4495.0,Алгоритмы,2026-08-08 16:25:39,2026-08-08,8|2026-08-08 16:25:39
33,4995.0,Backend старт,2026-08-08 16:26:36,2026-08-08,33|2026-08-08 16:26:36
33,4995.0,Алгоритмы старт,2026-08-08 16:26:36,2026-08-08,33|2026-08-08 16:26:36
512,4995.0,Алгоритмы старт,2026-08-08 16:43:12,2026-08-08,512|2026-08-08 16:43:12
410,6490.0,Backend старт,2026-08-08 16:51:05,2026-08-08,410|2026-08-08 16:51:05
516,4950.0,Алгоритмы старт,2026-08-08 16:59:49,2026-08-08,516|2026-08-08 16:59:49
516,4950.0,Аналитика старт,2026-08-08 16:59:49,2026-08-08,516|2026-08-08 16:59:49
